Cell Ontology ID, Cell Ontology Label, Cytokine Ontology Label, Actor, Action Sentiment, NumPapers, Enrichment Score
CL_0000084,"T cell","IL2",cell,Positive,19,5.3
CL_0000084,"T cell","IL2",cytokine,Unknown,6,4.52
CL_0000236,"B cell","IL10",cell,Positive,6,5.49
CL_0000624,"CD4-positive, alpha-beta T cell","IL21",cell,Positive,5,7.71
CL_0000784,"plasmacytoid dendritic cell","IFNA",cell,Positive,5,85.56
CL_0000084,"T cell","IFNG",cell,Positive,5,4.28
CL_0002246,"peripheral blood stem cell","CSF3",cytokine,Positive,4,71.48
CL_0000236,"B cell","IL6",cell,Positive,4,1.99
CL_0000084,"T cell","IL17",cell,Positive,4,4.59
CL_0000451,"dendritic cell","IFNA",cell,Positive,3,11.23
CL_0000084,"T cell","IL10",cytokine,Positive,3,0.56
CL_0000236,"B cell","IL2",cytokine,Positive,3,0.85
CL_0000236,"B cell","TNFSF13B",cytokine,Unknown,3,75.74
CL_0000624,"CD4-positive, alpha-beta T cell","IFNG",cell,Positive,3,5.41
CL_0000236,"B cell","IL10",cytokine,Unknown,3,3.17
CL_0000236,"B cell","IL21",cytokine,Positive,3,5.61
CL_0000236,"B cell","IL6",cytokine,Positive,3,1.12
CL_0000084,"T cell","IL10",cell,Positive,3,2.02
CL_0000084,"T cell","IL4",cell,Positive,2,2.58
CL_0000084,"T cell","TGFB",cell,Positive,2,0.78
CL_0000084,"T cell","CD40LG",cell,Positive,2,3.3
CL_0000084,"T cell","IFNG",cytokine,Unknown,2,2.36
CL_0000451,"dendritic cell","IFN1",cytokine,Positive,2,6.1
CL_0000084,"T cell","TGFB",cytokine,Negative,2,2.11
CL_0000034,"stem cell","CSF3",cytokine,Positive,2,21.85
CL_0000235,"macrophage","CSF1",cytokine,Unknown,2,10.56
CL_0000775,"neutrophil","IFNA",cell,Positive,2,0.59
CL_0000625,"CD8-positive, alpha-beta T cell","IFNG",cell,Positive,2,8.88
CL_0000576,"monocyte","IFNA",cytokine,Positive,2,0.94
CL_0000084,"T cell","IL6",cell,Positive,2,0.67
CL_0000451,"dendritic cell","IL12",cell,Positive,2,22.04
CL_0000084,"T cell","TGFB",cytokine,Positive,2,0.28
CL_0000624,"CD4-positive, alpha-beta T cell","IL17",cytokine,Unknown,2,3.91
CL_0000576,"monocyte","TNF",cell,Positive,2,4.33
CL_0000236,"B cell","IFNG",cell,Positive,2,0.6
CL_0001042,"T-helper 22 cell","IL22",cell,Positive,2,570.26
