geneSymbol	pagerank_score
TNFSF13B	0.5002058466081636
TNF	0.0004457289830986778
GAPDH	0.00043686581624978655
IL6	0.0004216874518137979
AKT1	0.0004189709080513612
TLR4	0.00040898741331883714
PTPRC	0.00040421562693064426
IL10	0.0004040457627973678
TLR2	0.0004034173010169371
TP53	0.00040222354892395767
INS	0.00040148899385269434
IFNG	0.0003958986390090708
ALB	0.0003958479778299412
IL2	0.00039259264732335143
ITGAM	0.000389791968197939
TLR7	0.0003878364990980253
STAT3	0.0003875260371165484
CXCL8	0.0003867158453769829
MAPK3	0.00038584793938979624
IL4	0.00038554494646314704
MYC	0.00038536485934285194
TLR1	0.00038442989887132605
IL1B	0.00038352507642760335
CD86	0.00038139208099746225
TLR8	0.0003807988157371701
TLR9	0.00038052112298375104
CD40	0.0003793872948464329
HRAS	0.0003776768069125439
CTLA4	0.00037614934254724794
VEGFA	0.0003760558500941751
EGFR	0.00037603189397933943
ITGAX	0.00037597954799929907
CCL5	0.00037512054353095565
SRC	0.00037420789347639827
MAPK8	0.0003738127148650391
STAT1	0.0003720760857097015
CCL2	0.0003703740694879852
CD80	0.0003698854148381618
CCR5	0.0003698550897594675
FN1	0.0003695519146093046
JUN	0.0003691156524738265
EGF	0.00036883637841936734
MAPK1	0.000368741751359128
IL17A	0.00036827760220799416
TLR3	0.00036781155124693314
CD40LG	0.0003672371560519254
CASP3	0.0003666824236016363
MYD88	0.00036625636430970304
CXCL10	0.0003660576737908694
CSF2	0.0003659600816534545
CD44	0.00036234348591975555
TLR5	0.00036209552149086774
TLR6	0.0003620167951910012
ICAM1	0.0003618386129366595
SYK	0.00036006140490780824
CXCR4	0.00035976487245241104
FOXP3	0.0003594886265147417
CD19	0.00035877296141955317
MMP9	0.00035722150761429973
SELL	0.00035673294058576836
NOTCH1	0.00035656722835110535
IL18	0.00035536434281188694
TLR10	0.00035484805790399296
CCL4	0.00035476229708643076
TNFRSF1A	0.00035408089871985
CD4	0.00035343106921584413
CASP1	0.0003529468479095833
TNFRSF1B	0.0003527222118548062
IL13	0.0003517471235703674
ACTB	0.00035045203905114563
CCR2	0.00035022972946805033
CCR7	0.0003498939859202563
GZMB	0.00034924625947442626
B2M	0.0003490245321757501
CD28	0.00034853671720958874
IRF8	0.0003478599968379913
CCL3	0.0003471787629961548
SPI1	0.00034709315084003835
PTEN	0.00034477617334363316
CCRL2	0.00034456951512194133
FCGR2B	0.00034456440937183553
CSF1R	0.0003445190076633949
CXCL9	0.0003438936195508973
FCGR2A	0.00034339331752691215
VCAM1	0.0003426539069214387
ITGB2	0.00034226140121569495
JAK2	0.00034191550234916897
IL15	0.0003415354380420507
BTK	0.00034034145328062075
IL10RA	0.0003398498360764212
CD68	0.00033957853599882014
DDX41	0.00033948564290704145
TBX21	0.0003394102094413612
CD69	0.0003392130208398648
CXCR3	0.0003390826162231409
PTGS2	0.00033882489515026993
IL5	0.0003387306778076959
NFKB1	0.00033863233278957395
NOD2	0.00033830386663364525
MAPK14	0.00033742075782407086
STAT5A	0.00033739249740911574
CD34	0.00033713169966518734
CD2	0.00033686605765471435
LCK	0.00033669297553779294
CXCL12	0.00033580619278289383
PLEK	0.00033538803289763947
IGF1	0.0003350715560579217
CCR1	0.00033504145296490783
CTNNB1	0.0003349668096466753
IL2RA	0.0003341312808579593
CDKN2A	0.00033407375618927325
NLRP3	0.0003336034934176516
FOS	0.0003333314823191832
IL2RG	0.00033313503007739373
PRF1	0.00033302414970392717
CXCL1	0.0003329875265148067
CD274	0.0003326914038618068
NCAM1	0.0003319633936520537
CASP8	0.00033141574336361697
APP	0.00033122995366255913
ZAP70	0.0003310730595072577
ESR1	0.0003309102475171741
FASLG	0.00033070452819965233
IL7	0.00033016554385569105
ANXA5	0.0003299924678195995
IL1RN	0.00032992034980505844
KIT	0.0003296468978730072
STAT4	0.0003295899513626045
IRF1	0.00032953748652652255
HSP90AA1	0.00032932323963151766
BCL2L1	0.0003290830961622966
CSF3	0.0003289484582058758
IRF7	0.000328855133431636
PECAM1	0.0003288213735506292
TNFSF10	0.00032880239118777456
GATA3	0.0003286590502979429
IL1R1	0.00032863820006305306
FAS	0.00032846961188679716
CYBB	0.00032844267457633416
IL1A	0.00032818587246063406
TGFB1	0.0003272983480912417
RHOA	0.00032715129583170367
IL2RB	0.0003266678583055101
CD5	0.00032666659157058796
STAT6	0.00032645003351299316
WDTC1	0.0003263989774800837
RAC2	0.00032639112580688974
HLA-DRB1	0.0003263454387692296
REL	0.00032617214973136804
CCND1	0.0003261205323769662
APOE	0.0003259108249599276
CD74	0.00032584983524976753
IRF4	0.0003257561384376636
FCGR1A	0.00032519310630117895
TNFSF11	0.00032504757047044987
CSF1	0.0003249039120200685
MX1	0.000324626927416031
KRAS	0.00032458939671639977
TRAF6	0.000324494108440469
CD1D	0.00032439946392021123
NFKBIA	0.00032437111640747237
DECR1	0.0003243087792031467
CYCS	0.0003240669325462164
ITGAL	0.0003240215406583775
CD27	0.00032377078289894774
IL3	0.0003237286443500201
CDC42	0.0003236402576184357
FGF2	0.00032349667759354404
LRRK2	0.0003231420338721396
TYROBP	0.0003228095001733665
TNFAIP3	0.00032270984966723334
MPO	0.00032269381802660883
LYN	0.00032265815150151503
RELA	0.000322651207924521
HCK	0.00032199431923303436
ITPKB	0.00032131501144589926
FCGR3A	0.0003212331879422771
IRF5	0.0003211501885019253
CD1C	0.0003211460518806584
SLAMF1	0.0003210672431260183
LCP2	0.00032039741179238707
CCL20	0.0003203745900232567
BCL2A1	0.0003202971917114448
CCL19	0.0003202019227230129
GZMA	0.0003201615951391262
IL6R	0.0003201221271705723
PIK3CG	0.00032011326441342276
CXCL13	0.0003199825406018266
IFIH1	0.0003199095529921608
STAT5B	0.0003198763264549928
CCR6	0.0003197887807648652
CRP	0.0003194477216003262
SOCS3	0.00031936467162401876
MTOR	0.0003193240589812823
CD163	0.00031854461144638005
CREB1	0.0003183576912191286
EP300	0.0003181431708866078
IKZF1	0.0003181345186553842
IL4R	0.00031773337273443273
CIITA	0.0003177131571959464
JAK1	0.0003175816809040349
SELP	0.0003172292745147185
IFNB1	0.000317074184307763
GSK3B	0.00031685431043674623
CXCR5	0.0003164383023008121
CSF2RB	0.0003161733220366308
CD8A	0.00031585042689754613
CX3CR1	0.00031538969522457806
TYK2	0.00031535656393632573
NGF	0.0003153423281012996
VAV1	0.00031510435122349107
DDX58	0.00031499204002592934
IL16	0.0003148476806348392
TNFRSF4	0.00031478615199408675
CLEC7A	0.0003145956524069499
SOCS1	0.0003144998968465721
CTSS	0.00031436006243241494
TRAF1	0.00031421927487492276
CD48	0.0003139375575003944
AIF1	0.00031383306000254386
