geneSymbol	pagerank_score
IL6	0.020402029494993368
TLR4	0.020365373629960732
CXCR4	0.020341289150798823
ITGAM	0.02032020977434294
TLR9	0.02031292401392271
CXCL12	0.020309348023729266
CD86	0.02030053340312161
VCAM1	0.02029903031551238
CD80	0.020292969555971235
CD28	0.020281772518559536
CD4	0.020279592231245824
CXCR5	0.02027248886730112
CXCL13	0.020270827425895414
IL15	0.020270756384776014
CD274	0.02026193032730122
CCL21	0.020260615721271164
TNFSF13B	0.020248510390158108
CCL19	0.020243915359839264
CR2	0.020230063686363337
IL21	0.020187101271936316
CR1	0.020176042268524534
SH2D1A	0.02015762776453825
S1PR2	0.0201289843480118
MBTPS1	0.02005636785713608
EFNB1	0.02004958158335099
GAPDH	0.000426730012203337
TNF	0.00041863699174832903
AKT1	0.0004135341817469166
INS	0.00040160515663223087
ALB	0.00038582234624200796
IL10	0.00036691866172754883
MAPK3	0.0003654122999096988
TP53	0.0003594644994947354
EGFR	0.00035831070315608954
FN1	0.00035627049545802666
SRC	0.0003527617572734243
PTPRC	0.00034973201955922013
IL1B	0.00034735020385667667
EGF	0.0003457474836388939
VEGFA	0.0003432782660748535
MAPK8	0.00034082445106671966
IL2	0.0003406616230596982
IL4	0.00034037195659371023
CXCL8	0.00033995623660978703
TLR2	0.0003391513400999864
CASP3	0.00033911333374635574
STAT3	0.00033856797427986497
IFNG	0.0003374262354211562
MYC	0.000336449087869554
CCR5	0.00033592556423640054
CCL5	0.0003276561597399567
CCL2	0.0003260225836378665
TLR7	0.00032066583840868507
MAPK1	0.0003204561947049617
CD44	0.00031896259877509597
TLR1	0.0003187138996718402
APP	0.000317832886490209
JUN	0.00031730254124644425
MMP9	0.00031729346349289534
ICAM1	0.0003161850714035473
IL18	0.0003159683046443717
CD40	0.00031545743473855884
SYK	0.0003154112891201275
HRAS	0.00031446663944951066
IL17A	0.00031426138151474176
CCR7	0.0003136557631517224
SELL	0.00030939625198174475
CD34	0.0003078866284242542
IL13	0.0003075524016523916
CTLA4	0.00030699185733709406
CD19	0.00030676206574154705
CXCL10	0.00030544516991593104
IL5	0.00030453450055415674
TLR8	0.00030367453348247893
TLR5	0.00030223914495016666
CXCR3	0.00030175420312522535
KIT	0.00030123269046539755
TLR3	0.0003003836158544048
PTEN	0.0002990470642453016
CCR2	0.0002983524004122464
FOXP3	0.0002983377536102127
STAT1	0.00029679366549651993
FGF2	0.0002963519405085457
PECAM1	0.00029562443200405343
NOTCH1	0.0002942462897469417
CD69	0.000293800765556436
NCAM1	0.000292781350838287
MYD88	0.00029258839060283327
CCL4	0.00029256071292509307
FAS	0.0002913286355892374
TLR6	0.00029123476232744734
CSF2	0.0002911297984044148
CXCL1	0.00028873191114161276
CD40LG	0.00028825970912169465
PTGS2	0.0002864873303148783
ITGAX	0.0002861660676250489
TLR10	0.00028578249295906007
CSF1R	0.00028207970829617905
TNFRSF1A	0.000281997590734031
CCR1	0.0002819184067643906
B2M	0.0002771291282115922
DDX41	0.00027644250894878823
RHOA	0.00027612934969992485
C3	0.0002744723450222951
STAT5A	0.0002740695104937301
LCK	0.0002730627686612767
CCR6	0.0002727169752348421
IGF1	0.00027194250858678614
BCL2L1	0.0002717626284731973
CXCL9	0.00027172783214526083
PRF1	0.0002700702625650983
LYN	0.000269902975421382
IL7	0.00026968903420077783
CCRL2	0.00026885339347921974
BCL6	0.0002683278670416685
STAT4	0.0002678082292936935
CD8A	0.0002669991527059911
IL2RA	0.0002669707282568562
ANXA5	0.00026664276235131867
ERBB2	0.0002662385059936799
CXCL2	0.00026585214702794544
CD68	0.00026537585880181394
CRP	0.00026516673280301505
NLRP3	0.0002649319260792462
IL2RG	0.0002643143943209712
ACTB	0.0002641202140606602
BTK	0.00026400340855919544
ZAP70	0.00026323199488176036
CD1D	0.0002632311936431905
GBA	0.000262632278418628
TFRC	0.000261709816091524
SPI1	0.00026146864827051545
CASP1	0.0002612368301971948
GZMB	0.00026117635137937287
ITGAL	0.00026079253184517666
ITGB2	0.0002604197592327613
STAT6	0.0002596776690547104
HPRT1	0.0002595492819888261
STAT5B	0.0002590487088708013
CSF3	0.0002585237910436825
CD5	0.00025849840152706297
PRDM1	0.0002582469218451444
IL1RN	0.0002572369059625154
KDR	0.0002571540692696297
CD27	0.0002570699944270974
GATA3	0.0002570568474779741
JAK2	0.0002567089232611753
C5AR1	0.00025637324087005454
MPO	0.00025635143472350994
TBX21	0.0002563294894560196
SLAMF1	0.0002560896878071524
FOS	0.00025587156875104926
MAPK14	0.0002558521038340005
SELP	0.0002541793041300726
CD38	0.0002536935958570119
SDC1	0.00025240946152173347
PLEK	0.0002521672351136723
CCND1	0.0002520185542997351
CCL3	0.0002516341361507827
FCGR2B	0.00025130888562925
APOE	0.0002508883097957655
CSF1	0.00025074365606400384
FCGR2A	0.00025037841709278397
IL10RA	0.0002499231268326332
IL3	0.0002493776535082079
CD2	0.0002491512684436246
CXCR2	0.0002491287546457104
CCR9	0.0002490400201836392
JAK3	0.00024902027330215036
TNFSF11	0.00024714199586090674
C3AR1	0.00024639052488538773
CCR3	0.00024547585423891034
IRAK1	0.0002454086169447669
CX3CR1	0.0002446531280895047
IL2RB	0.00024465048068704476
THY1	0.0002445332799774628
CXCL5	0.00024441041131448456
CCL20	0.00024376255977217662
TGFB1	0.00024326010143052278
TRAF6	0.0002431233933483071
CDC42	0.0002429151396786827
CASP8	0.00024262104931715577
ESR1	0.00024249489505423423
NOD2	0.00024244580599311056
CD163	0.00024231360869840873
TNFRSF1B	0.00024188902596871263
MRC1	0.000241555681794696
IL1A	0.0002413627744842008
IRF4	0.00024097213896585057
ITPKB	0.00024065399600253396
HSP90AA1	0.00024010411426470416
JAK1	0.00024002960807006457
PDGFRB	0.0002400269173058164
GPR183	0.00023957376420345971
CD1C	0.00023953034608639845
CD74	0.00023941493932861302
