geneSymbol	pagerank_score
CFB	0.022922760736046353
STAT4	0.01697893650819231
TNXB	0.016210429749106525
TNPO3	0.015211039900177716
IRF5	0.013884357732973796
MUC21	0.012654096110774263
NCF2	0.012244498823467547
SMG7	0.012152975379214273
ITGAM	0.011832392770184783
HLA-DRA	0.00842877474963121
MSH5	0.00730060154912791
TNIP1	0.006388587659306765
BLK	0.0057485879179516464
NMNAT2	0.005195295792794209
TNFSF4	0.00449740190715243
PTPN22	0.004119036458808221
TNFAIP3	0.004112029519309006
HLA-DQA1	0.003998530145763461
HLA-DRB1	0.0037722684366441024
TYK2	0.003569155987642616
ETS1	0.003557704720163093
PDHX	0.0032159861434939846
PHTF1	0.003165616426235568
UBE2L3	0.003163337433778226
RSBN1	0.003162388096664894
HLA-DQB2	0.003142934186082901
IRF7	0.0029286975161463653
C2	0.0028355374437983583
NADSYN1	0.0028007503130737773
BANK1	0.0025259603538834922
JAK2	0.0024861654762283066
CLEC16A	0.0024031682585926193
CD80	0.002317275000864045
GPR19	0.0022769113993051544
CDHR5	0.0022280487585323323
TCF7	0.0021997311449471198
KIT	0.0021981443802387307
RASGRP3	0.002182775926868149
LBH	0.0021761924305677225
MECP2	0.0021523256149780924
ATG5	0.0020959278757077065
FCGR2A	0.002071939454626067
LPP	0.002063173650504
SCAMP5	0.001984508322235278
IL10	0.001982249378856194
IRAK1	0.001965329623163032
TRAPPC11	0.001959099617039997
FAM98B	0.0019452524271583941
SLC15A4	0.0019006939784175162
PDHB	0.0018955488856868747
PTPRC	0.0018681112449357676
IKZF2	0.00185397894814059
ERBB2	0.0018424744525041873
GTF2IRD1	0.0018265318062237379
UHRF1BP1	0.001789964112698633
YDJC	0.0017799693502725392
TM9SF2	0.0017749780652534844
EDEM3	0.0017681863329928914
CCDC116	0.0017424445912054692
WDFY4	0.0017357372498572091
SLC44A4	0.0017328262208712493
IFIH1	0.0017253305230438953
FCRL5	0.0016932640411870484
HIP1	0.00168635148988574
BACH2	0.0016750151837365
