geneSymbol	pagerank_score
TNF	0.013620626083880134
IL6	0.013607584715944917
IL10	0.013581152460328745
IFNG	0.013570842897771747
CXCL8	0.013569705098498416
IL2	0.013566731360514091
IL4	0.013564185280910364
IL1B	0.013561205019257188
CCL2	0.013548265398514968
IL17A	0.013542095435817473
CSF2	0.013540368339187444
IL13	0.01353157652461056
IL18	0.013524671001225435
IL5	0.013514447853233214
IL15	0.01350971156702619
CCL3	0.013503901850175465
CD40LG	0.013493786914889363
CSF3	0.013490111019360745
IL7	0.013478972272145277
IFNB1	0.013455782076563621
CSF1	0.013453171241830816
TNFSF13B	0.013443374207479932
TGFB1	0.01343211391626506
IL1RN	0.013429495593694383
IFNA2	0.013419777879198494
IL22	0.013416166338264653
IL17F	0.01341488584027868
FGF2	0.013414848786454275
IL16	0.013413736474256328
IL21	0.01340972813244704
SPP1	0.013401456786823826
TNFSF4	0.013386919623206067
CD70	0.01335676598387711
RETN	0.013343209896301812
PF4	0.013333583442084197
TNFSF9	0.013320816113630117
IL12B	0.013304460378191683
IFNL3	0.013275246402299977
GAPDH	0.0004418949631085578
AKT1	0.00042350039023718967
TLR4	0.0004141933191631883
STAT3	0.0004121943868848824
TLR2	0.0004016673627098181
ALB	0.00039160220041460625
EGFR	0.000389842212031407
STAT1	0.0003852968837776744
INS	0.00038232899151831177
CCL5	0.000381187798160675
TLR7	0.00038064116547854686
TLR9	0.00037812446758582496
TLR1	0.0003777580207450102
JUN	0.0003771024270829838
CXCL10	0.0003762611929868902
TLR3	0.0003757667688157632
PTPRC	0.0003752426130923668
CD86	0.0003719706089741742
CTLA4	0.000370938858255374
MYD88	0.0003695041282239242
ITGAM	0.00036767048852399216
CD80	0.00036702832580214783
TP53	0.000366484892529679
TLR5	0.0003638300969161075
CD44	0.00036019315819371423
VEGFA	0.00035974045019681396
MYC	0.00035873445063127517
TLR10	0.0003570592663757155
CCL4	0.0003552636545327596
FOXP3	0.0003549613417359534
CD40	0.0003505273009369918
MAPK3	0.000350329187940852
MAPK8	0.00034913358933882883
TLR8	0.00034834066257573504
FN1	0.0003482777613431508
CCR5	0.0003455448583028426
MMP9	0.0003447870744248779
CD34	0.0003436991302070288
EGF	0.00034250108843496784
TNFRSF1A	0.00034220678362225184
TLR6	0.00033879911208418507
JAK2	0.00033766949632744824
CXCL1	0.0003376676317808542
IL10RA	0.0003322744524065862
STAT5A	0.00033213723986811
CCR2	0.0003313840752157252
LCK	0.0003313003713093593
ICAM1	0.0003308401083826602
PRF1	0.00033053140225763005
CD4	0.0003304872410627822
MAPK1	0.00033033130620109107
CD28	0.0003296864210592523
NCAM1	0.00032858980083902835
IL2RA	0.0003272915631920701
CCR7	0.00032674097446605993
SRC	0.0003261943894689727
IL2RG	0.0003237991466666758
CXCL9	0.0003237582264052329
CXCR4	0.00032312133684791794
IL3	0.00032187025503112765
ITGAX	0.00031973008449037813
PTGS2	0.0003185488862972709
CCRL2	0.00031773247024746357
CCL20	0.0003167986869613204
STAT4	0.0003159251923272739
IL6R	0.0003159121800979651
TBX21	0.0003157319701384545
CXCR3	0.0003142729806586096
DDX41	0.00031226138369515685
CXCL12	0.00031180528550130653
SELL	0.00030991639583628143
TNFRSF1B	0.00030838087140089824
VCAM1	0.00030669795556453704
STAT6	0.0003060291074321627
CASP3	0.0003051211436541495
SOCS1	0.00030494831310563667
IL2RB	0.0003047667884432902
CD19	0.000304677826432664
SOCS3	0.0003035197528754211
HRAS	0.00030308861074231465
LTA	0.0003025409371593978
IL1A	0.00030183546065357114
IRF1	0.00030104230201785675
IL7R	0.0003001192473105672
CD69	0.00029865341616009924
IL9	0.00029826197151197007
JAK1	0.00029763813157670973
CCR6	0.0002976209029571474
CSF1R	0.0002972771775759189
CXCL2	0.00029684259161632626
IL1R1	0.00029501060889847885
FOS	0.00029450696221974555
TNFSF11	0.00029392716134556536
GZMB	0.0002934073262580285
CD274	0.0002917186924747157
SYK	0.0002917029805816221
NOTCH1	0.00029142399387720614
STAT5B	0.00029041450614468174
CXCL11	0.0002887591444075144
CASP1	0.00028838986442266464
RELA	0.00028788749030572074
IL4R	0.00028756584179696155
ACTB	0.0002873574495567226
KIT	0.0002869455748382019
NFKB1	0.0002860781886374521
GATA3	0.0002855276430276107
TRAF6	0.0002840834336351239
CCL7	0.00028266417192210607
CX3CL1	0.00028251901743031496
IL23R	0.00028180159566530433
IL21R	0.0002815284442205216
IDO1	0.0002811227492060901
CD209	0.0002805087225867251
BCL2L1	0.0002801825496234179
CISH	0.0002797022403887143
ANXA5	0.000278894591806375
B2M	0.00027818453681265466
APOE	0.00027810663691144256
CD68	0.0002773264678681531
FCGR2A	0.0002771751506282301
MMP2	0.0002766777881445529
IL12RB1	0.0002765813149324319
IFNAR1	0.00027656273334074533
IL3RA	0.0002762459924756963
TYK2	0.0002762002449380556
CD1D	0.00027594947517789047
PDGFRB	0.0002744748494945113
IGF1	0.00027356290830787497
MX1	0.0002718091111430465
FCGR2B	0.0002713588687487498
FAS	0.0002711052119157149
NLRP3	0.0002709355567633116
IRF8	0.0002706256940785738
CXCL13	0.0002705635492337521
REL	0.0002703804820521731
MRC1	0.00026939830355716233
CCR1	0.0002692487358460214
NOD2	0.00026922588942680087
CD83	0.0002692103153915144
LEP	0.00026813731823348595
IFNGR1	0.0002675651276935239
IRF4	0.00026739353012767076
CX3CR1	0.00026694081593414063
PDCD1	0.00026677881633402426
ERBB2	0.00026671122142680196
CRP	0.0002662989792966893
FASLG	0.00026618901924948884
CCL11	0.00026579164335660673
CD8A	0.0002654603544786382
IL18R1	0.0002652148102324484
CCL22	0.00026518218749792765
CLEC7A	0.000264188583952182
PECAM1	0.0002634084400182218
IL6ST	0.0002621423116028509
CCL17	0.00026165380646007215
EPO	0.00026075822299151803
CCL21	0.0002602055265135151
ESR1	0.00025970632657028905
IRF7	0.0002595663590423262
CCL19	0.0002593178213650185
IFNA1	0.00025930240859103887
CXCL5	0.00025903677111228343
CASP8	0.0002587873012807556
NFKBIA	0.0002584917917900522
SPI1	0.0002580264645237279
APP	0.00025793113484269623
CXCR5	0.0002560853647837833
IL10RB	0.0002550705666974295
GZMA	0.0002550591640899565
CD2	0.0002548815902266222
RELB	0.0002548709139825815
CYCS	0.0002522412924860349
TNFRSF9	0.00025191965192350875
NFKB2	0.00025136107035711946
CSF3R	0.0002508354015385012
CSF2RB	0.0002507068227338782
CD1C	0.0002507066477490106
NOS2	0.000250065999549902
DDX58	0.00024954460508678274
MAPK14	0.0002491978707679821
CXCL3	0.0002491204473755342
TIMP1	0.0002481096619560397
MPO	0.0002480418501013153
RAG1	0.0002478378202972667
CD5	0.0002476845820484385
IL17RA	0.00024751740670932843
CD27	0.0002472986910320543
HPRT1	0.0002472310825995434
IFIH1	0.0002467417798116404
IL13RA1	0.0002460071981053781
NCR1	0.0002457427472543851
SELE	0.0002454234805605683
ARG1	0.00024498837159706596
PTEN	0.00024480286631684266
TNFRSF4	0.00024458205275902623
IRAK1	0.00024447300149870376
SERPINB2	0.0002444461127398284
MMP3	0.00024423883387084057
